GEG4022-002,서양음악사,전체,3,교양선택,상대평가,화-수,10_12-10_12,5남332,반율리
GEG4023-001,클래스 피아노,전체,3,교양선택,Pass/Fail,화,7_12,5남333,한희철
GEG4023-002,클래스 피아노,전체,3,교양선택,Pass/Fail,수,7_12,5남333,한희철
GEG4024-001,합창,전체,3,교양선택,Pass/Fail,금,13_18,5남333,조병욱
GEG4025-001,교양가창,전체,3,교양선택,Pass/Fail,목,13_18,5남333,조병욱
GEG4028-001,시창과 청음,전체,3,교양선택,Pass/Fail,금,7_12,5남333,한희철
GEG4032-001,피트니스 트레이닝,전체,1,교양선택,상대평가,목,10_13,5남334,우소연
GEG4032-002,피트니스 트레이닝,전체,1,교양선택,상대평가,화,5_8,5남136,소병훈
GEG4032-003,피트니스 트레이닝,전체,1,교양선택,상대평가,수,4_7,60주년-709,송정란
GEG4032-004,피트니스 트레이닝,전체,1,교양선택,상대평가,월,4_7,5동102,이상우
GEG4032-005,피트니스 트레이닝,전체,1,교양선택,상대평가,월,13_16,추후공지,이상우
GEG4032-006,피트니스 트레이닝,전체,1,교양선택,상대평가,화,1_4,60주년-511,최지아
GEG4032-007,피트니스 트레이닝,전체,1,교양선택,상대평가,목,14_17,서-401,우소연
GEG4034-001,금연과 건강한 삶,전체,3,교양선택,상대평가,셀,0_0,웹강의,이훈재_손민_서민희
GEG1022-001,한국경제의 소개,1,3,교양선택,상대평가,화,1_6,9-602,정인교
GEG1030-004,경제학의 이해,1,3,교양선택,상대평가,금,1_6,9-217,현정택
GEG1076-002,영화로 보는 한국문화,1,3,교양선택,상대평가,셀,0_0,웹강의,육상효
GEG1123-001,기초물리학,1,3,교양선택,Pass/Fail,월-목,10_12-4_6,5동407,김기식
MTH1010-001,기초수학,1,3,교양선택,Pass/Fail,월-목,1_3-1_3,5동105A,이영진
MTH1010-002,기초수학,1,3,교양선택,Pass/Fail,월-수,4_6-1_3,5동107B,이영진
MTH1010-003,기초수학,1,3,교양선택,Pass/Fail,월-목,10_12-4_6,5동107B,이영진
MTH1010-004,기초수학,1,3,교양선택,Pass/Fail,월-수,13_15-7_9,5동105A,이영진
MTH1010-005,기초수학,1,3,교양선택,Pass/Fail,월-화,7_9-10_12,5동107A,김형돈
MTH1010-006,기초수학,1,3,교양선택,Pass/Fail,월-목,4_6-1_3,5동106A,김형돈
MTH1010-007,기초수학,1,3,교양선택,Pass/Fail,월-목,13_15-4_6,5동106A,김형돈
MTH1010-008,기초수학,1,3,교양선택,Pass/Fail,월-목,4_6-1_3,5동105B,김기태
MTH1010-009,기초수학,1,3,교양선택,Pass/Fail,월-목,10_12-4_6,5동105B,김기태
MTH1010-010,기초수학,1,3,교양선택,Pass/Fail,화-목,7_9-10_12,5동107A,김기태
MTH1010-011,기초수학,1,3,교양선택,Pass/Fail,월,19_24,5동106A,연룡하
GEG2002-001,졸업인증실용영어,4,3,교양선택,Pass/Fail,월-수,1_3-4_6,60주년-608,전재영
GEG2002-002,졸업인증실용영어,4,3,교양선택,Pass/Fail,월-수,4_6-1_3,60주년-608,전재영
GEG3050-001,발명과 특허,전체,2,교양선택,상대평가,셀,0_0,웹강의,이창협
GEG3050-001,발명과 특허,전체,2,교양선택,상대평가,셀,0_0,웹강의,이창협
GEG3057-001,비즈니스 커뮤니케이션,전체,3,교양선택,절대평가,화,7_12,하-대강당,김진상
GEG3069-001,진로설계 포트폴리오,전체,2,교양선택,Pass/Fail,화,13_16,60주년-507,홍수진
GEG1051-001,지적재산권의 이해,전체,3,교양선택,상대평가,수,1_6,60주년-712,이창협
GEG1051-001,지적재산권의 이해,전체,3,교양선택,상대평가,수,1_6,60주년-712,이창협
GEG1053-001,법학의 이해,전체,3,교양선택,상대평가,수,13_18,5동111,박민우
GEG1053-002,법학의 이해,전체,3,교양선택,상대평가,화,4_9,법전205,심영주
GEG1053-003,법학의 이해,전체,3,교양선택,상대평가,목,13_18,법전205,정우영
GEG1055-001,범죄와 사회,전체,3,교양선택,상대평가,화,13_18,법전205,심영주
GEG1055-002,범죄와 사회,전체,3,교양선택,상대평가,수,4_9,법전205,심영주
GEG1055-003,범죄와 사회,전체,3,교양선택,상대평가,월,7_12,법전105,홍민지
GEG1128-001,과학수사 들여다보기,전체,3,교양선택,상대평가,수,13_18,법전001,홍민지
